customer_id,age,income,tenure_years,support_calls,monthly_spend,contract_type,has_auto_pay,churn
CUST-00001,33,73234.21,5,2,57.94,One year,1,0
CUST-00002,58,63749.58,3,0,77.42,Month-to-month,0,0
CUST-00003,38,28419.99,2,3,92.35,Month-to-month,0,0
CUST-00004,49,68230.1,0,0,72.17,Month-to-month,0,0
CUST-00005,42,119172.41,11,1,63.45,Two year,0,0
CUST-00006,54,82644.35,8,2,114.19,Two year,0,0
CUST-00007,35,48616.96,9,5,121.0,Month-to-month,1,0
CUST-00008,22,74215.84,12,3,112.98,One year,1,0
CUST-00009,33,55189.54,1,2,51.89,Two year,1,0
CUST-00010,50,60708.38,7,2,98.89,Month-to-month,0,0
CUST-00011,50,87411.9,13,1,69.34,Month-to-month,1,0
CUST-00012,69,66445.85,10,0,54.45,Month-to-month,0,0
CUST-00013,30,57301.83,7,4,21.43,Month-to-month,1,0
CUST-00014,40,67938.1,13,3,52.9,One year,0,0
CUST-00015,67,35175.51,2,2,100.34,Two year,0,0
CUST-00016,23,31937.4,9,2,76.9,Month-to-month,1,0
CUST-00017,54,71744.32,13,3,78.62,Month-to-month,1,0
CUST-00018,67,39808.03,2,2,128.26,Month-to-month,0,1
CUST-00019,65,74718.6,9,1,61.45,One year,1,0
CUST-00020,53,20127.46,12,1,34.95,One year,0,0
CUST-00021,64,105903.95,11,4,56.41,One year,0,0
CUST-00022,28,52104.3,15,1,31.8,Month-to-month,1,0
CUST-00023,57,136773.24,13,0,71.53,Month-to-month,1,0
CUST-00024,52,18000.0,15,4,77.29,Two year,1,0
CUST-00025,44,21947.4,10,3,118.01,Month-to-month,1,0
CUST-00026,69,118568.49,3,1,66.67,Month-to-month,0,0
CUST-00027,61,59993.63,13,0,37.78,One year,1,0
CUST-00028,28,65037.27,13,2,71.86,One year,0,0
CUST-00029,68,58973.88,8,1,77.6,Two year,1,0
CUST-00030,62,60148.09,3,2,119.25,Month-to-month,0,1
CUST-00031,37,73958.57,7,5,67.17,Month-to-month,0,0
CUST-00032,54,31756.05,4,2,69.41,Month-to-month,1,0
CUST-00033,58,50323.59,2,2,89.75,Month-to-month,1,0
CUST-00034,29,112245.73,6,0,20.0,Month-to-month,0,0
CUST-00035,31,60882.43,4,5,95.91,Month-to-month,0,0
CUST-00036,27,39293.22,10,2,104.58,Month-to-month,0,0
CUST-00037,42,58133.29,12,4,104.18,Month-to-month,0,0
CUST-00038,67,97639.62,5,4,61.43,One year,0,1
CUST-00039,38,49477.17,12,2,136.98,Month-to-month,0,0
CUST-00040,35,50071.07,4,3,93.62,Month-to-month,0,0
CUST-00041,65,72172.58,10,7,153.64,Month-to-month,1,0
CUST-00042,40,87848.82,5,0,100.12,One year,0,0
CUST-00043,21,123700.17,9,0,86.24,Month-to-month,1,0
CUST-00044,52,51438.74,0,3,109.66,Month-to-month,1,1
CUST-00045,57,66794.76,10,3,48.09,One year,1,0
CUST-00046,40,97748.48,9,3,95.22,One year,0,0
CUST-00047,67,19529.79,3,3,34.25,One year,0,0
CUST-00048,18,59805.67,10,3,47.15,One year,1,0
CUST-00049,63,71201.15,10,0,109.09,One year,1,0
CUST-00050,31,52869.25,7,0,67.61,One year,1,0
CUST-00051,59,34736.92,15,2,80.59,One year,0,0
CUST-00052,42,76266.3,15,0,95.05,One year,1,0
CUST-00053,51,109319.43,11,5,69.68,Month-to-month,0,1
CUST-00054,57,52811.1,12,2,88.69,Two year,0,0
CUST-00055,64,42585.0,7,5,97.76,One year,0,0
CUST-00056,49,49318.27,5,3,82.23,Month-to-month,1,0
CUST-00057,51,130046.55,11,2,104.96,Two year,0,0
CUST-00058,40,109645.68,9,3,135.27,Month-to-month,0,0
CUST-00059,20,56891.84,8,1,63.64,Month-to-month,1,0
CUST-00060,27,,8,1,55.75,Month-to-month,1,0
CUST-00061,24,27828.9,1,5,52.18,Two year,0,0
CUST-00062,58,46634.46,3,2,86.66,One year,1,0
CUST-00063,23,46826.2,11,4,126.45,One year,1,0
CUST-00064,27,64422.0,5,1,52.66,Month-to-month,1,0
CUST-00065,29,29993.62,14,2,53.32,Month-to-month,0,0
CUST-00066,55,52023.88,10,1,64.92,Month-to-month,0,0
CUST-00067,34,74598.42,14,3,95.68,Month-to-month,0,0
CUST-00068,43,22126.0,5,1,57.59,One year,1,0
CUST-00069,53,196026.06,13,1,57.93,One year,0,0
